_,region,MW#
Wind,QLD1,180.5493
Solar,QLD1,1.32823
Liquid Fuel,QLD1,0
Hydro Storage,QLD1,0
Hydro,QLD1,54.167500000000004
Gas,QLD1,284.387715
Black Coal,QLD1,5116.5039400000005
Biomass,QLD1,24.800001
Battery Storage,QLD1,0
Wind,NSW1,1063.3737599999997
Solar,NSW1,0.158
Liquid Fuel,NSW1,-0.060944
Hydro Storage,NSW1,0
Hydro,NSW1,141.473
Gas,NSW1,0.12371
Black Coal,NSW1,4087.53131
Wind,VIC1,2148.068413
Solar,VIC1,0
Hydro,VIC1,0.09000000000000001
Gas,VIC1,0
Brown Coal,VIC1,2847.32788
Battery Storage,VIC1,-0.22178
Wind,SA1,1293.9441819999997
Solar,SA1,0
Liquid Fuel,SA1,-0.1
Gas,SA1,254.46331
Battery Storage,SA1,-14.304689999999999
Wind,TAS1,263.45997600000004
Hydro,TAS1,538.398394
Gas,TAS1,-1