ren,FUELTYPE,regionid,sum(sc.sumscada)
Fossil,Black Coal,NSW1,4087.53131
Fossil,Black Coal,QLD1,5116.5039400000005
Fossil,Black Coal,,9204.03525
Fossil,Brown Coal,VIC1,2847.32788
Fossil,Brown Coal,,2847.32788
Fossil,Gas,NSW1,0.12371
Fossil,Gas,QLD1,284.387715
Fossil,Gas,SA1,254.46331
Fossil,Gas,,538.974735
Fossil,,,12590.337865000001
Renewable,Biomass,QLD1,24.800001
Renewable,Biomass,,24.800001
Renewable,Hydro,NSW1,141.473
Renewable,Hydro,QLD1,54.167500000000004
Renewable,Hydro,TAS1,538.398394
Renewable,Hydro,VIC1,0.09000000000000001
Renewable,Hydro,,734.1288940000001
Renewable,Rooftop PV,NSW1,6.93466666667
Renewable,Rooftop PV,QLD1,15.3696666667
Renewable,Rooftop PV,TAS1,0.0208333333333
Renewable,Rooftop PV,VIC1,0.02
Renewable,Rooftop PV,,22.3451666667033
Renewable,Solar,NSW1,0.158
Renewable,Solar,QLD1,1.32823
Renewable,Solar,,1.48623
Renewable,Wind,NSW1,1063.3737599999997
Renewable,Wind,QLD1,180.5493
Renewable,Wind,SA1,1293.9441819999997
Renewable,Wind,TAS1,263.45997600000004
Renewable,Wind,VIC1,2148.068413
Renewable,Wind,,4949.395630999999
Renewable,,,5732.155922666703
,,,18322.493787666703